city,date,state,text,polarity
Pompton Lakes,Thu Nov 26 23:01:39 +0000 2020,NJ,@CarmeliteNick Happy thanksgiving. You’re really rocking the clothes and love that hat.,0.5
West Hollywood,Thu Nov 26 23:01:41 +0000 2020,CA,Happy Thanksgiving! I have a lot to be thankful for but this year I’m most thankful for rediscovering my passion fo… https://t.co/haJ2wUIc0O,0.75
Rome,Thu Nov 26 23:01:42 +0000 2020,GA,@sdeebocane Have A Blessed 🙏🏾 And Safe Thanksgiving 🦃 Weekend 💓 https://t.co/bNvWlSi70T,0.5
Mays Chapel,Thu Nov 26 23:01:43 +0000 2020,MD,Happy Thanksgiving from my pod to yours ❤️ #Thanksgiving2020 #QuarantineThanksgiving @ Mays Chapel https://t.co/NgzEN43h5w,0.8
Chesapeake,Thu Nov 26 23:01:44 +0000 2020,VA,Happy Thanksgiving from my family to yours!! 🦃🍁🍽,1.0
Washington,Thu Nov 26 23:01:44 +0000 2020,DC,🦃 Happy Thanksgiving! 🦃 https://t.co/y8uYlpWDcA,1.0
Tulsa,Thu Nov 26 23:01:47 +0000 2020,OK,Happy thanksgiving 🥰 https://t.co/0JfjyJgMVX,0.8
Paradise,Thu Nov 26 23:01:48 +0000 2020,NV,What does one wear to Thanksgiving dinner? Do I dress up? Wear PJs? Help me!,0.0
Exeter,Thu Nov 26 23:01:48 +0000 2020,CA,@DCarr75 Happy Thanksgiving Coach,0.8
Pharr,Thu Nov 26 23:01:49 +0000 2020,TX,Happy thanksgiving! Ando crudo pero turkey day!,1.0
Clemson,Thu Nov 26 23:01:49 +0000 2020,SC,A good night for a fire. #HappyThanksgiving https://t.co/RmHadtpkNU,0.7
Cambridge,Thu Nov 26 23:01:50 +0000 2020,OH,i pray mikayla mourer is having a GREAT thanksgiving. she deserves the best of days. such a beautiful soul &amp; the past is the past.,0.35833333333333334
Princess Anne,Thu Nov 26 23:01:50 +0000 2020,MD,@M3216Monica @GoBlue_4ever @tim_c2727 @DennardJackson @thatMGOBLUEgirl @TheRealSimmdogg @p1vs_v1tra @MJJ_616 Happy thanksgiving ma’am,0.8
Brunswick,Thu Nov 26 23:01:51 +0000 2020,OH,happy thanksgiving and by that I mean I absolutely will publically call you out on social media if you’re not social distancing,0.1408333333333333
Houston,Thu Nov 26 23:01:52 +0000 2020,TX,"It took refs a minute to throw flag for Cooper.
#NFLThanksgiving",0.0
